item_id,item_name,item_category,item_subcategory,item_price,item_rating_avg,item_description,stock_quantity,launch_date
1,Consequatur Impedit,Elektronik,Voluptas,343.83,4.12,Rerum dolore eum consequuntur quibusdam tempora porro. Minima saepe nihil sapiente assumenda.,999,2024-11-09
2,Perspiciatis Commodi,Ev & Yaşam,Quo,939.72,3.68,"Aspernatur vitae aperiam veniam ipsa minima occaecati quod. Dolorum numquam quae voluptatem tempore iure quia.
Porro dolore eius itaque. Nihil fugit tempora magni quaerat.",69,2024-04-04
3,Ad Illo,Mücevher,Veniam,765.99,3.79,Quidem nisi maxime fugiat hic repudiandae. Voluptate amet minima ex possimus. Quod dolore perferendis explicabo ea iusto occaecati.,35,2024-05-24
4,Dolorum Magni,Mücevher,Quia,95.81,3.59,Eaque necessitatibus veniam officiis magnam quia. Inventore voluptatibus maiores illum facere minus fugiat.,20,2024-03-23
5,Ullam Repellendus,Oyuncak,Adipisci,361.65,3.61,"Ratione deleniti aliquid dolorum mollitia incidunt nam. Doloremque modi natus adipisci nesciunt ullam est.
Id nisi magni. Ab veritatis cupiditate libero.",611,2024-04-15
6,Officiis Itaque,Oyuncak,Doloremque,451.0,4.16,Numquam libero iure voluptate veniam ipsa minus. Laboriosam voluptates soluta repellat possimus minus nihil ducimus. Accusantium nostrum veritatis quod reprehenderit.,926,2024-04-25
7,Nemo Eaque,Elektronik,Totam,434.76,3.65,Qui quia explicabo impedit aut velit eveniet. Dolore ea sit eum porro expedita adipisci.,481,2024-11-22
8,Deserunt Ipsa,Bahçe,Est,990.92,4.29,Unde eveniet repellendus perspiciatis. Consequuntur velit doloribus velit aliquam et illum.,1000,2024-08-24
9,Unde Quia,Otomotiv,Sequi,953.73,3.88,Magni temporibus architecto labore tempore. Eveniet quaerat a qui rerum odit. Cupiditate pariatur tenetur dignissimos.,748,2024-04-23
10,Cupiditate Quasi,Gıda,Dolore,71.19,4.59,"Dolores laboriosam eligendi praesentium illo. Ratione optio temporibus aut. Occaecati facilis iusto atque.
Facilis eaque temporibus ipsa fugiat voluptates. Voluptatem impedit consectetur sed nostrum.",998,2024-04-22
11,Earum Suscipit,Oyuncak,Itaque,265.59,4.21,Repudiandae expedita aliquid. Blanditiis perferendis aut distinctio natus corrupti alias. Aliquid ducimus eos adipisci nisi animi.,256,2024-09-25
12,Fugiat Velit,Oyuncak,Ratione,450.72,4.37,Assumenda quam odio voluptatibus maxime molestiae saepe. Adipisci consequatur quos odit atque. Perferendis voluptatem omnis dolorem blanditiis cupiditate.,247,2024-09-09
13,Amet Aut,Spor,Placeat,218.05,4.07,"Maxime nostrum sunt eum amet praesentium adipisci. Doloribus eum ducimus modi explicabo.
Officia ad occaecati. Odit molestias at voluptate voluptatem blanditiis.",649,2024-07-23
14,Magni Perspiciatis,Elektronik,Dolor,403.15,4.67,"Beatae nihil occaecati modi. Corporis tempore atque.
Quis illo natus.
Non architecto ex optio modi quasi beatae. Aliquam laboriosam eaque repudiandae quas.",33,2024-11-24
15,Illo Esse,Giyim,At,397.3,4.62,"Aspernatur quae temporibus deleniti. Doloremque ut necessitatibus voluptates.
Dicta tenetur iusto inventore. Omnis autem eveniet fugit et dolorum temporibus.",64,2024-03-23
16,Aliquid Fugiat,Ev & Yaşam,Repudiandae,273.77,4.08,Illo eveniet numquam optio labore ipsum odio. Quos modi beatae minima laborum occaecati quaerat. Sed quaerat nisi quod.,119,2024-04-14
17,Occaecati Ad,Gıda,Mollitia,348.87,4.27,"Dolore hic iure nostrum error deserunt quis minima. Iste autem culpa magni.
Accusamus illum occaecati quam illum. Quia numquam voluptates neque blanditiis.",902,2024-06-14
18,Omnis Reprehenderit,Mobilya,Ducimus,881.27,4.42,"Consequatur et aspernatur dolores repellat quis.
Recusandae vel consequatur dolore quis consectetur. Doloremque eaque ea vitae officiis aliquid.",714,2025-02-26
19,Modi Quasi,Kitap,Quae,243.84,3.75,Sed facere quibusdam molestiae nisi distinctio. Ea incidunt consequatur esse unde facilis provident veritatis.,500,2024-09-09
20,Rem Quasi,Otomotiv,Debitis,629.3,4.09,"Laboriosam officiis fugit temporibus cupiditate. Recusandae magni doloremque animi.
Sed saepe provident molestias iure omnis quia.",841,2025-02-21
21,Omnis Aliquid,Kitap,Animi,302.15,4.33,Sed accusantium maiores eveniet et dolorum magni. Saepe quos illo harum necessitatibus reiciendis. Eveniet laboriosam illum vel.,923,2024-03-21
22,Provident Recusandae,Mücevher,At,840.01,4.59,Amet maiores esse animi doloribus id. Quibusdam et voluptatum minima iure odit iste placeat.,774,2024-11-05
23,Soluta Dolore,Oyuncak,Repellat,942.6,3.78,Atque repudiandae iusto sed culpa vel quaerat. Voluptatum magnam quis numquam sed veniam odit.,315,2024-09-30
24,Illum Autem,Bahçe,Repellat,362.1,4.45,"Animi placeat ex minima quia. Ab numquam magni delectus dignissimos similique voluptatibus.
Pariatur quia neque maxime. Non ad ipsa enim at dolore explicabo totam.",100,2024-11-07
25,Cumque Quae,Giyim,Maxime,446.65,3.84,Error exercitationem impedit error ex animi maiores ullam. Qui fuga laudantium ex. Officia voluptate itaque pariatur inventore nobis.,954,2024-09-04
26,Cumque Harum,Kitap,A,16.67,4.67,Aperiam sit quaerat illum repudiandae amet itaque. Dignissimos asperiores doloribus ducimus excepturi rem.,941,2024-05-22
27,Ut Tempore,Ev & Yaşam,Ab,30.87,3.68,Velit alias debitis non quasi reiciendis. Dignissimos eos dolorum ullam modi. Neque nemo veritatis aperiam harum.,127,2024-11-13
28,Aut Omnis,Spor,Consequatur,601.86,4.11,Nisi similique iusto quia ullam. Quae earum quidem. Aliquid dolorem aspernatur repellat occaecati ea ducimus. Adipisci autem deleniti aliquid ab.,129,2024-08-25
29,Quasi Eum,Otomotiv,Incidunt,369.99,3.52,Magnam maiores id eveniet saepe. Quisquam non dignissimos reprehenderit non. Provident cupiditate sequi laudantium.,403,2025-02-14
30,Nostrum Iste,Otomotiv,Eius,999.52,4.77,"Repudiandae voluptas similique quo optio animi ipsam accusamus.
Vero enim doloremque a. Placeat odio aliquam quas natus eius.",498,2025-02-12
31,Cum Aspernatur,Giyim,Quo,25.58,4.2,Deserunt iusto quidem ea necessitatibus atque nulla. Consequatur ipsum ratione vero veniam quae nam.,404,2024-12-24
32,Repudiandae Iure,Gıda,Cupiditate,525.81,4.75,"Corrupti ducimus consectetur reiciendis maxime. Nostrum a ut at qui dicta.
Animi illum quod ex pariatur optio. Odit cupiditate at consequatur.",940,2024-11-16
33,Veniam Ratione,Spor,Perferendis,212.77,4.23,"Atque ipsum fuga laudantium vitae. A nostrum excepturi blanditiis.
Corrupti iure soluta. Error ex maiores temporibus similique. Dolor dolorum aliquid magni exercitationem.",439,2025-01-10
34,Occaecati Consequatur,Elektronik,Aspernatur,469.56,4.74,Neque dolore molestias consequuntur eveniet ex assumenda. Porro pariatur nemo incidunt optio consectetur qui. Esse quo quisquam eius adipisci.,141,2024-07-18
35,Dolorem Reprehenderit,Ev & Yaşam,Placeat,323.78,4.02,"Necessitatibus numquam pariatur minima voluptates. Distinctio a beatae quam aliquid. Iusto illum minima cupiditate.
Minus suscipit quibusdam quo voluptates ut. Quia at officia quasi praesentium ipsa.",405,2024-11-26
36,Quos Quam,Gıda,Quis,50.74,4.25,"Ipsa placeat voluptates blanditiis. Quaerat itaque provident tempore. Sed autem itaque ad maiores. Repellendus fugit odit enim animi modi numquam.
Dolores provident repellendus totam.",586,2024-06-12
37,Ex Velit,Kozmetik,Exercitationem,93.63,3.88,Sapiente voluptatibus aspernatur assumenda excepturi nulla reprehenderit numquam. Qui officia corporis iste. Quasi repellendus ab sint tenetur quas.,136,2024-10-01
38,Inventore Eum,Otomotiv,Illum,40.06,3.5,"Ratione beatae nisi sapiente. Nulla magni praesentium placeat et. Possimus atque excepturi molestias nihil.
Error quos omnis nobis. Id eaque sequi sunt nisi. Laborum ipsa eos quia.",889,2024-04-27
39,Temporibus Minus,Spor,Suscipit,861.09,4.39,"Nulla dignissimos totam mollitia perspiciatis quas itaque. Officia maiores laudantium cupiditate quasi culpa iste.
Necessitatibus eum debitis itaque.",399,2024-09-30
40,Porro Consequuntur,Oyuncak,Nostrum,845.7,4.19,Quo nostrum totam similique quo tenetur vitae incidunt. Voluptatibus nulla iste quam aspernatur in minima. Placeat doloribus vitae quam.,396,2024-06-22
41,Aliquid Iusto,Gıda,Reiciendis,990.4,4.34,"Pariatur est amet voluptatem ratione eaque. Deleniti eius maxime provident iure recusandae. Non officiis atque suscipit voluptas nemo distinctio.
Dolor reprehenderit iste vitae repudiandae ad.",618,2024-08-15
42,Porro Animi,Giyim,Earum,778.74,4.69,Cum vero aspernatur incidunt. Tenetur corrupti autem eum. Repellat unde modi doloribus sapiente rem.,560,2024-08-18
43,Natus Odio,Kozmetik,Doloremque,428.12,4.7,"Eligendi earum velit porro sed omnis repellat. Quasi odio natus est repudiandae.
Temporibus nemo dolores nobis cumque alias. Atque praesentium eum neque similique.",765,2024-11-22
44,Dicta Consequatur,Oyuncak,Ratione,510.4,4.55,Nesciunt dignissimos asperiores voluptatum suscipit nihil ut. At incidunt enim. Laborum sit dolorem animi eos odio.,166,2025-03-14
